PO_NUMBER,PO_REVISION_NUM,PO_DATE,PO_STATUS,PO_APPROVED_DATE,PO_REVISION_NUMBER,PO_VENDOR_NAME,PO_SHIP_LOCATION_CODE,PO_SHIP_ADDRESS_1,PO_SHIP_ADDRESS_2,PO_SHIP_ADDRESS_3,PO_SHIP_CITY,PO_SHIP_STATE,PO_SHIP_ZIP,PO_SHIP_COUNTRY,PO_VENDOR_CREATION_DATE,PO_REVISION_DATE,PO_PROMISE_DATE,PO_NEED_BY_DATE,PO_CREATED_BY,PO_BUYER_NAME,PO_LAST_UPDATE_DATE,PO_LINE_NUM,PO_LINE_LOCATION_ID,PO_QTY_ORDERED,PO_QTY_DELIVERED,PO_QTY_CANCEL,PO_AMT_INVOICED,PO_UNIT_PRICE,PO_LINE_LOCATION_STATUS,PO_HEADER_ID,PO_VENDOR_ID,PO_LINE_ID,PART_NUMBER,PART_DESCRIPTION,UNIT_OF_MEASURE,TRACKING_SHIPPING_DATE,TRACKING_UPDATE_DATE,PO_ORIGINAL_PROMISED_DATE,PO_TYPE,QUANTITY_RECEIVED,ESTIMATED_DELIVERED_DATE,PROMISED_DATE_CREATION_DATE,SALES_ORDER_NUMBER,VERIFICATION_DATE,PROMISE_DATE_UPDATE_DETAILS,PROMISE_DATE_ISSUES,PO_SHIPMENT_TYPE,ITEM_TYPE,CLIN,PO_SHIPMENT_NUM
1374495,2,2024-05-14 00:00:00,APPROVED CLOSED,2024-06-03 00:00:00,2,WORLD WIDE TECHNOLOGY  LLC,CACI INC FEDERAL,3611-E RAMSEY STREET,,CACI WAREHOUSE FACILITY,FAYETTEVILLE,NC,28311,US,2011-07-26 00:00:00,2024-06-03 00:00:00,2024-05-30 00:00:00,2024-06-13 00:00:00,LWATERMAN,"WATERMAN, LYNN",2024-06-04 00:00:00,3,7044171,3,3,0,1950.69,650.23,CLOSED,5265209,1564084,6510332,FPR1010-ASA-K9,FIREPOWER 1010 ASA APPLIANCE - DESKTOP,Each,FEDEX 739350012234  739350012245  739350012256,03-JUN-24,2024-05-30 00:00:00,STANDARD,3,2024-06-06 00:00:00,2024-05-28 00:00:00,1182474,,,,EXTERNAL,P,0001,3.1.1
1374495,2,2024-05-14 00:00:00,APPROVED CLOSED,2024-06-03 00:00:00,2,WORLD WIDE TECHNOLOGY  LLC,CACI INC FEDERAL,3611-E RAMSEY STREET,,CACI WAREHOUSE FACILITY,FAYETTEVILLE,NC,28311,US,2011-07-26 00:00:00,2024-06-03 00:00:00,2024-05-30 00:00:00,2024-06-13 00:00:00,LWATERMAN,"WATERMAN, LYNN",2024-06-04 00:00:00,2,7044172,3,3,0,722.07,240.69,CLOSED,5265209,1564084,6510331,CON-SNT-FPR1010A,FIREPOWER 1010 SRVC - 36MO,Each,FEDEX 739350012234  739350012245  739350012256,03-JUN-24,2024-05-30 00:00:00,STANDARD,3,2024-06-06 00:00:00,2024-05-28 00:00:00,1182474,,,,EXTERNAL,P,0002,2.1.1
1374495,2,2024-05-14 00:00:00,APPROVED CLOSED,2024-06-03 00:00:00,2,WORLD WIDE TECHNOLOGY  LLC,CACI INC FEDERAL,3611-E RAMSEY STREET,,CACI WAREHOUSE FACILITY,FAYETTEVILLE,NC,28311,US,2011-07-26 00:00:00,2024-06-03 00:00:00,2024-05-30 00:00:00,2024-06-13 00:00:00,LWATERMAN,"WATERMAN, LYNN",2024-06-04 00:00:00,1,7044173,3,3,0,1614.12,538.04,CLOSED,5265209,1564084,6510330,FPR1010-SEC-PL,FIREPOWER 1010; SEC PLUS LICENSE,Each,FEDEX 739350012234  739350012245  739350012256,03-JUN-24,2024-05-30 00:00:00,STANDARD,3,2024-06-06 00:00:00,2024-05-28 00:00:00,1182474,,,,EXTERNAL,P,0003,1.1.1
1383822,3,2024-06-20 00:00:00,APPROVED CLOSED,2024-07-17 00:00:00,3,INTELLISENSE SYSTEMS  INC.,NOSWC,2000 TRIDENT WAY,BLDG 624,NOSWC,SAN DIEGO,CA,92155,US,2018-06-01 00:00:00,2024-07-17 00:00:00,2024-07-17 00:00:00,2024-07-31 00:00:00,BJURGOVAN,"JURGOVAN, BRAXTYN",2024-07-23 00:00:00,1,7236272,2,2,0,698,349,CLOSED,5391056,4099484,6637047,7175-05410-20,AMWS CASE,Each,(2) UPS 1Z23WA900394673625,17-JUL-24,2024-07-17 00:00:00,STANDARD,2,2024-07-24 00:00:00,2024-07-16 00:00:00,1192435,2024-07-12 00:00:00,,,EXTERNAL,P,0004,1.1.1
1383822,3,2024-06-20 00:00:00,APPROVED CLOSED,2024-07-17 00:00:00,3,INTELLISENSE SYSTEMS  INC.,NOSWC,2000 TRIDENT WAY,BLDG 624,NOSWC,SAN DIEGO,CA,92155,US,2018-06-01 00:00:00,2024-07-17 00:00:00,2024-07-17 00:00:00,2024-07-31 00:00:00,BJURGOVAN,"JURGOVAN, BRAXTYN",2024-07-23 00:00:00,4,7236275,2,2,0,76194,38097,CLOSED,5391056,4099484,6637050,7175-01000-15-201-4099484,MWSM625 MILITARY ADVANCED MICRO WEATHER STATION PACKAGE DOD IRIDIUM SATELLITE COMMUNICATIONS COYOTE BROWN,Each,(2) UPS 1Z23WA900394673625,17-JUL-24,2024-07-17 00:00:00,STANDARD,2,2024-07-24 00:00:00,2024-07-16 00:00:00,1192435,2024-07-12 00:00:00,,,EXTERNAL,P,0001,4.1.1
1383822,3,2024-06-20 00:00:00,APPROVED CLOSED,2024-07-17 00:00:00,3,INTELLISENSE SYSTEMS  INC.,NOSWC,2000 TRIDENT WAY,BLDG 624,NOSWC,SAN DIEGO,CA,92155,US,2018-06-01 00:00:00,2024-07-17 00:00:00,2024-07-17 00:00:00,2024-07-31 00:00:00,BJURGOVAN,"JURGOVAN, BRAXTYN",2024-07-23 00:00:00,2,7236273,2,2,0,528,264,CLOSED,5391056,4099484,6637048,7175-02500-15,MWS POWER AND DATA CABLE 15FT,Each,(2) UPS 1Z23WA900394673625,17-JUL-24,2024-07-17 00:00:00,STANDARD,2,2024-07-24 00:00:00,2024-07-16 00:00:00,1192435,2024-07-12 00:00:00,,,EXTERNAL,P,0003,2.1.1
1383822,3,2024-06-20 00:00:00,APPROVED CLOSED,2024-07-17 00:00:00,3,INTELLISENSE SYSTEMS  INC.,NOSWC,2000 TRIDENT WAY,BLDG 624,NOSWC,SAN DIEGO,CA,92155,US,2018-06-01 00:00:00,2024-07-17 00:00:00,2024-07-17 00:00:00,2024-07-31 00:00:00,BJURGOVAN,"JURGOVAN, BRAXTYN",2024-07-23 00:00:00,3,7236274,2,2,0,2602,1301,CLOSED,5391056,4099484,6637049,7175-05800-20-4099484,RUGGED CARBON FIBER TRIPOD WITH MOUNTING AND STAKING KIT,Each,(2) UPS 1Z23WA900394673625,17-JUL-24,2024-07-17 00:00:00,STANDARD,2,2024-07-24 00:00:00,2024-07-16 00:00:00,1192435,2024-07-12 00:00:00,,,EXTERNAL,P,0002,3.1.1
1442709,3,2025-04-16 00:00:00,APPROVED,2026-02-27 00:00:00,3,TELEDYNE FLIR DEFENSE  INC.,JXQS VISUAL AUGMENTATION SYSTEMS BRANCH,300 HIGHWAY 361,BLDG 3324,,CRANE,IN,47522,US,2024-06-24 00:00:00,2026-02-27 00:00:00,2026-04-10 00:00:00,2025-10-13 00:00:00,CSTREIT,"STREIT, CANDACE",2026-02-27 00:00:00,7,8626953,4,2,0,8555.7,4277.85,OPEN,6691137,6890483,8010372,4110234ML-AD120-2837474,CABLE ASSEMBLY HCU EXT 3 METER LS MOLDED,Each,1ZRF06370140693630,27-FEB-26,2026-01-30 00:00:00,STANDARD,2,2026-04-17 00:00:00,2025-04-18 00:00:00,1266994,2026-03-05 00:00:00,,,EXTERNAL,P,"0003, 0003, 0003",7.1.1
1442709,3,2025-04-16 00:00:00,APPROVED,2026-02-27 00:00:00,3,TELEDYNE FLIR DEFENSE  INC.,JXQS VISUAL AUGMENTATION SYSTEMS BRANCH,300 HIGHWAY 361,BLDG 3324,,CRANE,IN,47522,US,2024-06-24 00:00:00,2026-02-27 00:00:00,2026-04-10 00:00:00,2025-10-13 00:00:00,CSTREIT,"STREIT, CANDACE",2026-02-27 00:00:00,2,8626948,4,2,0,38256.5,19128.25,OPEN,6691137,6890483,8010367,4202574-2-2837474,HAND CONTROL UNIT,Each,1ZRF06370140693630,27-FEB-26,2026-01-30 00:00:00,STANDARD,2,2026-04-17 00:00:00,2025-04-18 00:00:00,1266994,2026-03-05 00:00:00,,,EXTERNAL,P,"0002, 0002, 0002",2.1.1
1442709,3,2025-04-16 00:00:00,APPROVED,2026-02-27 00:00:00,3,TELEDYNE FLIR DEFENSE  INC.,JXQS VISUAL AUGMENTATION SYSTEMS BRANCH,300 HIGHWAY 361,BLDG 3324,,CRANE,IN,47522,US,2024-06-24 00:00:00,2026-02-27 00:00:00,2026-04-10 00:00:00,2025-10-13 00:00:00,CSTREIT,"STREIT, CANDACE",2026-02-27 00:00:00,3,8626949,4,2,0,9771.7,4885.85,OPEN,6691137,6890483,8010368,4140170-0360-2837474,CABLE ASSY TFU TO CEU FIBER VIDEO 30FT/9.1M LOW SMOKE 240EP/280HDEP,Each,1ZRF06370140693630,27-FEB-26,2026-01-30 00:00:00,STANDARD,2,2026-04-17 00:00:00,2025-04-18 00:00:00,1266994,2026-03-05 00:00:00,,,EXTERNAL,P,"0005, 0005, 0005",3.1.1
